ID1,keyword,"grammar, context",An example of how this word is used:,French,French translation/meaning of the English example
4239,glossiest,su,"""glossiest"" is the superlative of:  glossy", le/la/les plus brillant/e/s,
4242,gloves,pl,"""gloves"" is the plural of:  glove",gants,
4245,glued,si,"""glued"" is the past tense of:  glue","collé, fixé",
4266,goals,pl,"""goals"" is the plural of:  goal","objectifs, buts",
4271,gobbled down,si,"""gobbled down"" is the past tense of:  gobble down",englouti,
4281,golfed,si,"""golfed"" is the past tense of:  golf",(avoir) joué au golf,
4282,golfed,si,"""golfed"" is the past tense of:  golf",(avoir) joué au golf,
4291,got,si,"""got"" is the past tense of:  get","eu, obtenu",
4297,got along with,si,"""got along with"" is the past tense of:  get along with",(s'être) bien entendu avec,
4298,got back,si,"""got back"" is the past tense of:  get back","rentré, revenu",
4299,got back to,si,"""got back to"" is the past tense of:  get back to","rentré à, revenu à",
4300,got down,si,"""got down"" is the past tense of:  get down",descendu,
4301,got even,si,"""got even"" is the past tense of:  get even",,
4302,got in,si,"""got in"" is the past tense of:  get in","entré, monté",
4303,got in touch with,si,"""got in touch with"" is the past tense of:  get in touch with",entré en contact avec,
4304,got off,si,"""got off"" is the past tense of:  get off","descendu, parti",
4305,got off the ground,si,"""got off the ground"" is the past tense of:  get off the ground",,
4306,got on,si,"""got on"" is the past tense of:  get on",,
4307,got out,si,"""got out"" is the past tense of:  get out",être sorti,
4308,got over,si,"""got over"" is the past tense of:  get over","surmonté, traversé",
4309,got rid of,si,"""got rid of"" is the past tense of:  get rid of",(s'être) débarassé de,
4310,got through (to),si,"""got through (to)"" is the past tense of:  get through (to)","traversé, passé",
4311,got to work,si,"""got to work"" is the past tense of:  get to work",être allé travailler,
4312,got up,si,"""got up"" is the past tense of:  get up",(s'être) levé,
4316,gowns,pl,"""gowns"" is the plural of:  gown","robes, blouses",
4318,grabbed,si,"""grabbed"" is the past tense of:  grab","saisi, empoigné",
4326,graduated,si,"""graduated"" is the past tense of:  graduate","(être) diplômé, gradué",
4332,grams,pl,"""grams"" is the plural of:  gram",grammes,
4336,grander,co,"""grander"" is the comparative of :  grand",plus grandiose(s),
4337,grandest,su,"""grandest"" is the superlative of:  grand",le/la/les plus grandiose(s),
4340,grandmothers,pl,"""grandmothers"" is the plural of:  grandmother",grands-mères,
4350,grasses,pl,"""grasses"" is the plural of:  grass",herbes,
4361,greased,si,"""greased"" is the past tense of:  grease",graissé,
4362,greasier,co,"""greasier"" is the comparative of :  greasy","plus gras, grasse(s)",
4363,greasiest,su,"""greasiest"" is the superlative of:  greasy","le/la/les plus gras, grasses",
4368,greater,co,"""greater"" is the comparative of :  great",meilleur(e)(s),
4369,greatest,su,"""greatest"" is the superlative of:  great",le/la/les meilleur(e)(s),
4376,greenhouses,pl,"""greenhouses"" is the plural of:  greenhouse",serres,
4378,grew,si,"""grew"" is the past tense of:  grow","grandi, poussé, cultivé",
4384,grinned,si,"""grinned"" is the past tense of:  grin",souri,
4387,gripped,si,"""gripped"" is the past tense of:  grip",agrippé,
4394,groups,pl,"""groups"" is the plural of:  group",groupes,
4405,guaranteed,si,"""guaranteed"" is the past tense of:  guarantee",garanti,
4411,guessed,si,"""guessed"" is the past tense of:  guess",deviné,
4412,guessed,"verb, pp.",I'd never have guessed!,,Je n'aurais jamais deviné !
4415,guests,pl,"""guests"" is the plural of:  guest","invités, hôtes, clients",
4421,guitars,pl,"""guitars"" is the plural of:  guitar",guitares,
4435,habits,pl,"""habits"" is the plural of:  habit",habitudes,
4436,had,si,"""had"" is the past tense of:  have","(avoir) eu, reçu",
4438,had,si,"""had"" is the past tense of:  have","(avoir) eu, reçu",
4440,had out,si,"""had out"" is the past tense of:  have out",(s'être) expliqué,
4441,had to,si,"""had to"" is the past tense of:  have to","(avoir) dû, (être) obligé",
4442,"had, had got",si,"""had"", ""had got"" is the past tense of:  have",(avoir) eu,
4444,hadn't,si,"""hadn't"" is the past tense of:  haven't",(ne pas avoir) eu,
4445,"hadn't, hadn't got",si,"""hadn't"", ""hadn't got"" is the past tense of:  have got",(ne pas avoir) eu,
4454,halls,pl,"""halls"" is the plural of: hall","entrées, couloirs",
4457,halves,pl,"""halves"" is the plural of:  half",moitiés,
4459,hamburgers  hamburger,pl,"""hamburgers"" is the plural of:  hamburger",hamburgers,
4464,hammered,si,"""hammered"" is the past tense of:  hammer",martelé,
4465,hammers,pl,"""hammers"" is the plural of:  ""hammer",marteaux,
4471,handed,si,"""handed"" is the past tense of:  hand",donné,
4472,handed in,si,"""handed in"" is the past tense of:  hand in","remis, rendu",
4484,hands,pl,"""hands"" is the plural of:  hand",mains,
4486,handshakes,pl,"""handshakes"" is the plural of:  handshake",poignées de main,
4501,happened,si,"""happened"" is the past tense of:  happen","arrivé, survenu",
4502,happier,co,"""happier"" is the comparative of :  happy","plus heureux, heureuse(s)",
4503,happiest,su,"""happiest"" is the superlative of:  happy","le/la/les plus heureux, heureuse(s)",
4513,hardened,si,"""hardened"" is the past tense of:  harden","durci, renforcé",
4514,harder,co,"""harder"" is the comparative of :  hard",plus difficile(s),
4515,hardest,su,"""hardest"" is the superlative of:  hard",le/la/les plus difficile(s),
4522,harmed,si,"""harmed"" is the past tense of:  harm",endommagé,
4525,harsher,co,"""harsher"" is the comparative of :  harsh","plus sévère(s), dur(e)(s)",
4526,harshest,su,"""harshest"" is the superlative of:  harsh","le/la/les plus sévère(s), dur(e)(s)",
4536,hastier,co,"""hastier"" is the comparative of :  hasty","plus précipité(e)(s), hâtif(s), hâtive(s)",
4537,hastiest,su,"""hastiest"" is the superlative of:  hasty","le/la/les plus précipité(e)(s), hâtif(s), hâtive(s)",
4543,hated,si,"""hated"" is the past tense of:  hate","détesté, méprisé",
4544,hats,pl,"""hats"" is the plural of:  hat",chapeaux,
4579,headaches,pl,"""headaches"" is the plural of:  headache",maux de tête,
4580,headed,si,"""headed"" is the past tense of:  head","intitulé, dirigé",
4581,headed for,si,"""headed for"" is the past tense of:  head for",(s'être) dirigé vers,
4583,headquarters,pl,"""headquarters"" is the plural of:  headquarter",quartiers généraux,
4587,healed,si,"""healed"" is the past tense of:  heal","guéri, cicatrisé",
4589,healthier,co,"""healthier"" is the comparative of :  healthy",plus sain(e)(s),
4590,healthiest,su,"""healthiest"" is the superlative of:  healthy",le/la/les plus sain(e)(s),
4600,heard,si,"""heard"" is the past tense of:  hear",entendu,
4601,heard about,si,"""heard about"" is the past tense of:  hear about",entendu parler de,
4610,heated,si,"""heated"" is the past tense of:  heat",chauffé,
4611,heated up,si,"""heated up"" is the past tense of:  heat up","chauffé, réchauffé",
4614,heavier,co,"""heavier"" is the comparative of :  heavy",plus lourd(e)(s),
4615,heaviest,su,"""heaviest"" is the superlative of:  heavy",le/la/les plus lourd(e)(s),
4624,heirlooms,pl,"""heirlooms"" is the plural of:  heirloom","héritages, souvenirs de famille",
4625,held,si,"""held"" is the past tense of:  hold",tenu,
4627,held on,si,"""held on"" is the past tense of:  hold on","attendu, maintenu",
4628,held out,si,"""held out"" is the past tense of:  hold out","(avoir) tenu bon, ",
4629,held up,si,"""held up"" is the past tense of:  hold up","tenu, résisté",
4642,helped,si,"""helped"" is the past tense of:  help",aidé,
4643,helped out,si,"""helped out"" is the past tense of:  help out",(avoir) donné un coup de main,
4645,helpers,pl,"""helpers"" is the plural of:  helper","assistants, assistantes",
4680,higher,co,"""higher"" is the comparative of :  high","plus haut(e)(s), élevé(e)(s)",
4681,higher,co,"""higher""  is the comparative of  high","plus haut/e/s, élevé/e/s",
4682,highest,su,"""highest"" is the superlative of:  high","le/la/les plus haut(e)(s), élevé(e)(s)",
4687,highlighted,si,"""highlighted"" is the past tense of:  highlight","souligné, surligné",
4690,highways,pl,"""highways"" is the plural of:  highway",autoroutes,
4694,hiked,si,"""hiked"" is the past tense of:  hike",(avoir) fait de la randonné,
4702,hired,si,"""hired"" is the past tense of:  hire","engagé, embauché",
4709,hit,si,"""hit"" is the past tense of:  hit",frappé,
4717,hobbies,pl,"""hobbies"" is the plural of:  hobby",passe-temps,
4730,holdups,pl,"""holdups"" is the plural of:  holdup","attaques à main armée, retards",
4732,holes,pl,"""holes"" is the plural of:  hole",trous,
4747,homes,pl,"""homes"" is the plural of:  home","maisons, foyers",
4758,honeymooned,si,"""honeymooned"" is the past tense of:  honeymoon",(avoir) passé son voyage de noces,
4766,hoped,si,"""hoped"" is the past tense of:  hope",espéré,
4782,hospitals,pl,"""hospitals"" is the plural of:  hospital",hôpitaux,
4787,hosted,si,"""hosted"" is the past tense of:  host","reçu, accueilli",
4790,hosts,pl,"""hosts"" is the plural of:  host",hôtes,
4794,hotels,pl,"""hotels"" is the plural of:  hotel",hôtels,
4795,hotter,co,"""hotter"" is the comparative of :  hot","plus chaud(e)(s), épicé(e)(s)",
4796,hottest,su,"""hottest"" is the superlative of:  hot","le/la/les plus chaud(e)(s), épicé(e)(s)",
4799,hounded,si,"""hounded"" is the past tense of:  hound","traqué, harcelé",
4801,hours,pl,"""hours"" is the plural of:  hour",heures,
4802,house,verb,How many people can you house?,,Combien de personnes peux-tu loger/héberger ?
4806,houses,pl,"""houses"" is the plural of:  house",maisons,
4811,hovered,si,"""hovered"" is the past tense of:  hover",rôdé,
4830,humiliated,si,"""humiliated"" is the past tense of:  humiliate",humilié,
4832,hummed,si,"""hummed"" is the past tense of:  hum","fredonné, bourdonné",
4838,hung on,si,"""hung on"" is the past tense of:  hang on","accroché, suspendu à",
4839,hung up,si,"""hung up"" is the past tense of:  hang up",raccroché,
4841,hungrier,co,"""hungrier"" is the comparative of :  hungry",plus affamé(e)(s),
4842,hungriest,su,"""hungriest"" is the superlative of:  hungry",le/la/les plus affamé(e)(s),
4845,hurdles,pl,"""hurdles"" is the plural of:  hurdle","haies, obstacles",
4847,hurricanes,pl,"""hurricanes"" is the plural of:  hurricane",ouragans,
4848,hurried,si,"""hurried"" is the past tense of:  hurry","bousculé, terminé à la hâte",
4849,hurried up,si,"""hurried up"" is the past tense of:  hurry up",(s'être) dépêché,
4857,hurt,si,"""hurt"" is the past tense of:  hurt","blessé, peiné",
4861,hypnotized,si,"""hypnotized"" is the past tense of:  hypnotize",hypnotisé,
4873,ice cream,pl,"""ice cream"" is the plural of:  ice cream",glaces,
4875,ice skates,pl,"""ice skates"" is the plural of:  ice skate",patins à glace,
4879,icebreakers,pl,"""icebreakers"" is the plural of:  icebreaker",brise-glace,
4882,iced-coffees,pl,"""iced-coffees"" is the plural of:  iced-coffee",cafés glacés,
4883,icier,co,"""icier"" is the comparative of :  icy",plus glacé(e)(s),
4884,iciest,su,"""iciest"" is the superlative of:  icy",le/la/les plus glacé/e/s,
4888,ideas,pl,"""ideas"" is the plural of:  idea",idées,
4890,identified,si,"""identified"" is the past tense of:  identify",identifié,
4908,ignored,si,"""ignored"" is the past tense of:  ignore",ignoré,
4921,imagined,si,"""imagined"" is the past tense of:  imagine",imaginé,
4924,imitated,si,"""imitated"" is the past tense of:  imitate",imité,
4944,imperfections,pl,"""imperfections"" is the plural of:  imperfection","défauts, imperfections",
4948,impinged,si,"""impinged"" is the past tense of:  impinge",empiété,
4950,implemented,si,"""implemented"" is the past tense of:  implement","appliqué, mis en application, exécuté",
4958,imported,si,"""imported"" is the past tense of:  import",importé,
4965,imprisoned,si,"""imprisoned"" is the past tense of:  imprison",emprisonné,
4969,improved,si,"""improved"" is the past tense of:  improve",amélioré,
4971,improvements,pl,"""improvements"" is the plural of:  improvement",améliorations,
5004,included,si,"""included"" is the past tense of: include",inclus,
5019,increased,si,"""increased"" is the past tense of:  increase",augmenté,
5020,increases,pl,"""increases"" is the plural of:  increase",augmentations,
5034,indexes,pl,"""indexes"" is the plural of:  index","indices, index",
5049,indulged,si,"""indulged"" is the past tense of:  indulge",accordé,
5050,industries,pl,"""industries"" is the plural of:  industry",industries,
5080,inhabitants,pl,"""inhabitants"" is the plural of:  inhabitant","habitants, habitantes",
5082,inhabited,si,"""inhabited"" is the past tense of:  inhabit",habité,
5084,inhaled,si,"""inhaled"" is the past tense of: inhale",inhalé,
5087,inheritances,pl,"""inheritances"" is the plural of:  inheritance",héritages,
5088,inherited,si,"""inherited"" is the past tense of:  inherit",hérité,
5106,insects,pl,"""insects"" is the plural of:  insect",insectes,
5113,insisted,si,"""insisted"" is the past tense of:  ""insist","réclamé, exigé",
5117,inspected,si,"""inspected"" is the past tense of:  inspect",inspecté,
5120,inspectors,pl,"""inspectors"" is the plural of:  inspector","inspecteurs, inspectrices",
5123,installed,si,"""installed"" is the past tense of:  instal",installé,
5129,instigated,si,"""instigated"" is the past tense of:  instigate","engagé, lancé",
5132,institutes,pl,"""institutes"" is the plural of:  institute",instituts,
5135,instructions,pl,"""instructions"" is the plural of:  instruction",instructions,
5138,instructors,pl,"""instructors"" is the plural of:  instructor","moniteurs, monitrices",
5150,intended,si,"""intended"" is the past tense of:  intend",voulu,
5161,interfered,si,"""interfered"" is the past tense of:  interfere","intervenu, interféré",
5173,interpreted,si,"""interpreted"" is the past tense of:  interpret",interprété,
5178,intersections,pl,"""intersections"" is the plural of:  intersection","intersections, carrefours",
5182,intervened,si,"""intervened"" is the past tense of:  intervene","intervenu, survenu",
5185,interviewers,pl,"""interviewers"" is the plural of:  interviewer","enquêteurs, journalistes",
5186,interviews,pl,"""interviews"" is the plural of:  interview",entretiens,
5188,intimidated,si,"""intimidated"" is the past tense of:  intimidate",intimidé,
5193,intoxicated,si,"""intoxicated"" is the past tense of:  intoxicate",intoxiqué,
5197,intrigued,si,"""intrigued"" is the past tense of:  intrigue",intrigué,
5202,introduced,si,"""introduced"" is the past tense of:  introduce","présenté, introduit",
5207,inundated,si,"""inundated"" is the past tense of:  inundate",inondé,
5213,invented,si,"""invented"" is the past tense of:  invent",inventé,
5215,inventions,pl,"""inventions"" is the plural of:  invention",inventions,
5219,invested,si,"""invested"" is the past tense of:  invest",investi ,
5222,investments,pl,"""investments"" is the plural of:  investment",investissements,
5228,invitations,pl,"""invitations"" is the plural of:  invitation",invitations,
5232,invoices,pl,"""invoices"" is the plural of:  invoice",factures,
5234,involved,si,"""involved"" is the past tense of:  involve",impliqué,
5236,Iowa,"noun, proper: state",I think that the capital of Iowa must be 'Des Moines.',,Je pense que la capitale de l'Iowa est Des Moines.
5240,ironed,si,"""ironed"" is the past tense of:  iron",repassé,
5241,ironed out,si,"""ironed out"" is the past tense of:  iron out",aplani,
5249,irritated,si,"""irritated"" is the past tense of:  irritate",irrité,
5255,islands,pl,"""islands"" is the plural of:  ""island",iles,
5260,issued,si,"""issued"" is the past tense of:  issue","distribué, reçu",
5271,itched,si,"""itched"" is the past tense of:  itch","gratté, démangé",
5275,itemized,si,"""itemized"" is the past tense of:  itemize",détaillé,
5276,items,pl,"""items"" is the plural of:  ""item","articles, produits",
5285,jackets,pl,"""jackets"" is the plural of:  jacket",vestes,
5312,jobs,pl,"""jobs"" is the plural of:  job",emplois,
5322,joined,si,"""joined"" is the past tense of:  join","rejoint, adhéré",
5326,joked,si,"""joked"" is the past tense of:  joke",plaisanté,
5327,jokes,pl,"""jokes"" is the plural of:  joke","plaisanteries, blagues",
5338,judges,pl,"""judges"" is the plural of:  judge",juges,
5340,juices,pl,"""juices"" is the plural of:  juice",jus,
5341,juicier,co,"""juicier"" is the comparative of :  juicy","plus juteux, juteuse(s)",
5342,juiciest,su,"""juiciest"" is the superlative of:  juicy","le/la/les plus juteux, juteus(e)(s)",
5349,jumped,si,"""jumped"" is the past tense of:  jump",sauté,
5352,jungles,pl,"""jungles"" is the plural of:  jungle",jungles,
5355,juries,pl,"""juries"" is the plural of:  jury",jurys,
5366,justified,si,"""justified"" is the past tense of:  justify",justifié,
5372,keener,co,"""keener"" is the comparative of :  keen","plus motivé(e)(s), enthousiaste(s)",
5373,keenest,su,"""keenest"" is the superlative of:  keen","le/la/les plus motivé(e)(s), enthousiaste(s)",
5393,kept,si,"""kept"" is the past tense of:  keep",gardé,
5394,kept from,si,"""kept from"" is the past tense of:  keep from",empêché,
5395,kept in mind,si,"""kept in mind"" is the past tense of:  keep in mind","gardé à l'esprit, ne pas avoir oublié",
5396,kept in touch,si,"""kept in touch"" is the past tense of:  keep in touch",resté en contact,
5397,kept on,si,"""kept on"" is the past tense of:  keep on",continué,
5398,kept out,si,"""kept out"" is the past tense of:  keep out","ne pas être entré, évité",
5399,kept time,si,"""kept time"" is the past tense of:  keep time",(avoir) battu la mesure,
5400,kept track,si,"""kept track"" is the past tense of:  keep track","suivi, gardé une trace",
5401,kept up,si,"""kept up"" is the past tense of:  keep up","suivi, maintenu",
5404,key,adjective,"If your company is to succeed, you must put key players in key positions.",,Si tu veux faire prospérer ta société il faut mettre les gens compétents aux postes-clés.
5405,key,"noun, computer","To turn off the computer, press the control key and the command key on the keyboard.",,"Pour éteindre l'ordinateur, il faut appuyer sur la touche contrôle et la touche commande du clavier."
5407,key,"noun, common",What is the key to a successful life?  It depends on how you define success.,,Quel est le secret d'une vie réussite ? Tout dépend de la définition qu'on a de la réussite.
5408,key,"noun, music",What key should Pachelbel's Canon be played in?,,En quelle tonalité se joue le Canon de Pachelbel ?
5409,key,adjective,"In the lecture notes, the key questions are highlighted in yellow.",,
5410,key,"noun, common",The map's key will tell you how far NYC is from Philadelphia.,,La légende de la carte indique la distance entre New-York et Philadelphie.
5411,key,"noun, common",Try to find the answers without looking them up in the answer key.,,Essayez de trouver les réponses sans regarder le corrigé.
5412,key card,"noun, compound noun",You're going to need a key card to get into the building after hours.,,Vous aurez besoin d'une carte magnétique pour entrer dans le bâtiment après la fermeture.
5413,key hole,"noun, compound noun",Jody peered through the key hole to see if there was anyone in the hall.,,Jody regarda dans le trou de la serrure pour voir si quelqu'un se trouvait dans le couloir.
5414,key in,"verb, phrasal verb",I started keying in to the lecture as soon as I heard the words 'final exam'.,,
5415,key in,"verb, phrasal verb",I keyed in all the data.  Do you have anything else you'd like me to add?,,J'ai saisi toutes les données. Veux-tu que j'y ajoute autre chose ?
5416,key ring,"noun, common",Have you seen my key ring?  It had all my keys on it and I can't find it anywhere!,,As-tu vu mon porte-clés? Toutes mes clés y sont accrochées et je ne ne le trouve plus
5417,key signature,"noun, compound noun",When writing music remember to write the key signature at the beginning of each line.,,Lorsque vous écrivez de la musique n'oubliez pas d'écrire l'armature au début de chaque portée
5419,keyed up,"adjective, emotion",David was so keyed up before his exam that he forgot much of what he had studied.,,David était tellement tendu avant son examen qu'il  a oublié presque tout ce qu'il avait appris.
5421,keynote address,"noun, politics",I wish I had seen President Clinton's keynote address on television.,,J'aurais aimé voir à la télévision le discours d'ouverture du président Clinton.
5422,keypad,"noun, common",Please enter your credit card number on the keypad to your right.,,Veuillez entrer votre code de carte de crédit sur le clavier sur votre droite
5423,keys,"noun, plural",How many black keys are on a standard piano?,,Combien de touches noires y-a-t-il sur un piano ?
5424,keys,pl,"""keys"" is the plural of:  key","clés, clefs",
5425,keys,"noun, plural",Have you misplaced your car keys?,,As-tu égaré tes clés ?
5433,killed,si,"""killed"" is the past tense of:  kill",tué,
5439,kinder,co,"""kinder"" is the comparative of :  kind","plus gentil(s), gentille(s)",
5441,kindest,su,"""kindest"" is the superlative of:  kind","le/la/les plus gentil(s), gentille(s)",
5444,kinds,pl,"""kinds"" is the plural of:  kind","sortes, genres, façons",
5449,kings,pl,"""kings"" is the plural of:  king",rois,
5454,kitchens,pl,"""kitchens"" is the plural of:  kitchen",cuisines,
5457,kites,pl,"""kites"" is the plural of:  kite",cerfs-volants,
5460,knees,pl,"""knees"" is the plural of:  knee",genoux,
5461,knew,si,"""knew"" is the past tense of:  know","su, connu",
5462,knew about,si,"""knew about"" is the past tense of:  know about",connu,
5466,knives,pl,"""knives"" is the plural of:  knife",couteaux,
5472,knocked,si,"""knocked"" is the past tense of:  knock","cogné, frappé",
5475,knots,pl,"""knots"" is the plural of:  knot",nœuds,
5476,knotted,si,"""knotted"" is the past tense of:  knot",noué,
5494,labs,pl,"""labs"" is the plural of:  lab","labos, laboratoires",
5496,lacked,si,"""lacked"" is the past tense of:  lack",manqué (de),
5498,ladders,pl,"""ladders"" is the plural of:  ladder",échelles,
5499,ladies,pl,"""ladies"" is the plural of:  lady","dames, mesdames",
5501,laid off,si,"""laid off"" is the past tense of:  lay off","arrêté, licencié",
5505,lakes,pl,"""lakes"" is the plural of:  lake",lacs,
5510,landed,si,"""landed"" is the past tense of:  land",atterri,
5514,landmarks,pl,"""landmarks"" is the plural of:  landmark","points de repère, repères",
5517,languages,pl,"""languages"" is the plural of:  language","langues, langages",
5522,larger,co,"""larger"" is the comparative of :  large","plus gros, grosse/s, grand/s, grande/s",
5523,largest,su,"""largest"" is the superlative of:  large","le/la/les plus gros/se/s, grand/e/s",
5533,lasted,si,"""lasted"" is the past tense of:  last",duré,
5551,laughed,si,"""laughed"" is the past tense of:  laugh",ri,
5562,lawns,pl,"""lawns"" is the plural of:  lawn",pelouses,
5563,laws,pl,"""laws"" is the plural of:  law",lois,
5565,lawyers,pl,"""lawyers"" is the plural of:  lawyer",avocats,
5573,layers,pl,"""layers"" is the plural of:  layer","couches, épaisseurs",
5576,laymen,pl,"""laymen"" is the plural of:  layman","profanes, laïcs",
5577,lazier,co,"""lazier"" is the comparative of :  lazy","plus paresseux, paresseuse(s)",
5578,laziest,su,"""laziest"" is the superlative of:  lazy","le/la/les plus paresseux, paresseuse(s)",
5590,leaked,si,"""leaked"" is the past tense of:  leak",,
5593,leaner,co,"""leaner"" is the comparative of :  lean",plus maigre(s),
5594,leanest,su,"""leanest"" is the superlative of:  lean",le/la/les plus maigre(s),
5597,leaps,pl,"""leaps"" is the plural of:  leap","sauts, bonds",
5606,leashed,si,"""leashed"" is the past tense of:  ""leash",mis en laisse,
5621,lectures,pl,"""lectures"" is the plural of:  lecture","conférences, cours magistraux",
5622,led,si,"""led"" is the past tense of:  lead",mené,
5627,left,si,"""left"" is the past tense of:  leave","parti, quitté, laissé",
5628,left behind,si,"""left behind"" is the past tense of:  leave behind","distancé, laissé derrière",
5641,lengthened,si,"""lengthened"" is the past tense of:  lengthen","rallongé, prolongé",
5645,lent,si,"""lent"" is the past tense of:  lend",prêté,
5653,lessons,pl,"""lessons"" is the plural of:  lesson","leçons, cours",
5659,let,si,"""let"" is the past tense of:  let",laissé,
5662,let out,si,"""let out"" is the past tense of:  let out","fini, (avoir) laissé échapper",
5668,letterheads,pl,"""letterheads"" is the plural of:  letterhead",en-têtes,
5669,letters,pl,"""letters"" is the plural of:  letter",lettres,
5673,levels,pl,"""levels"" is the plural of:  level",niveaux,
5678,liberties,pl,"""liberties"" is the plural of:  liberty",libertés,
5681,librarians,pl,"""librarians"" is the plural of:  librarian","bibliothécaires, documentalistes",
5682,libraries,pl,"""libraries"" is the plural of:  library",bibliothèques,
5687,licked,si,"""licked"" is the past tense of:  lick",léché,
5690,lieutenants,pl,"""lieutenants"" is the plural of:  lieutenant",lieutenants,
5693,lifeguards,pl,"""lifeguards"" is the plural of:  lifeguard",maîtres-nageurs,
5698,lifted,si,"""lifted"" is the past tense of:  lift","soulevé, levé",
5707,lightened,si,"""lightened"" is the past tense of:  lighten","éclairé, allégé",
5709,lighter,co,"""lighter"" is the comparative of :  light","plus clair(s), claire(s), léger(s), légère(s)",
5711,lightest,su,"""lightest"" is the superlative of:  light","le/la/les plus clair(e)(s), léger(s), légère(s)",
5715,lights,pl,"""lights"" is the plural of:  light",lumières,
5734,limited,si,"""limited"" is the past tense of:  limit",limité,
5738,limousines,pl,"""limousines"" is the plural of:  limousine",limousines,
5759,lined up,si,"""lined up"" is the past tense of:  line up","aligné, mis en rang",
5779,listened to,si,"""listened to"" is the past tense of:  listen to",écouté,
5782,lists,pl,"""lists"" is the plural of:  list",listes,
5783,lit up,si,"""lit up"" is the past tense of:  light up","allumé, illuminé",
5800,lived,si,"""lived"" is the past tense of:  live","vécu, habité",
5801,livelier,co,"""livelier"" is the comparative of  ""lively""",plus animé(e)(s),
5802,liveliest,su,"""liveliest"" is the superlative of:  lively",le/la/les plus animé(e)(s),
5805,livened up,si,"""livened up"" is the past tense of:  liven up","égayé, animé",
5807,lives,pl,"""lives"" is the plural of:  life",vies,
5814,loaded,si,"""loaded"" is the past tense of:  load",chargé,
5815,loads,pl,"""loads"" is the plural of:  load",chargements,
5819,loathed,si,"""loathed"" is the past tense of:  loathe",détesté,
5823,located,si,"""located"" is the past tense of:  locate","situé, repéré",
5825,locations,pl,"""locations"" is the plural of:  location","endroits, emplacements",
5831,locked,si,"""locked"" is the past tense of:  lock","fermé à clé, verrouillé",
5832,locked out,si,"""locked out"" is the past tense of:  lock out",enfermé ,
5833,locked up,si,"""locked up"" is the past tense of:  lock up","fermé à clé, mis sous les verrous",
5836,lodged,si,"""lodged"" is the past tense of:  lodge",logé,
5838,loftier,co,"""loftier"" is the comparative of :  lofty","plus noble(s), majestueux, majestueus(e)(s)",
5839,loftiest,su,"""loftiest"" is the superlative of:  lofty","le/la/les plus noble/s, majestueux/ses",
5843,logarithms,pl,"""logarithms"" is the plural of:  logarithm",logarithmes,
5848,logos,pl,"""logos"" is the plural of:  logo",logos,
5852,lonelier,co,"""lonelier""  is the comparative of  lonely","plus solitaire(s), isolé(e)(s)",
5853,loneliest,su,"""loneliest"" is the superlative of:  lonely","les plus solitaire(s), isolé(e)(s)",
5864,longed for,si,"""longed for"" is the past tense of:  long for",aspiré à,
5865,longer,co,"""longer"" is the comparative of :  long","plus long(s), longue(s)",
5868,longest,su,"""longest"" is the superlative of:  long","le/la/les plus long(s), longue(s)",
5889,looked,si,"""looked"" is the past tense of:  look",regardé,
5890,looked after,si,"""looked after"" is the past tense of:  look after",(s'être) occupé de,
5891,looked down on,si,"""looked down on"" is the past tense of:  look down on",méprisé,
5892,looked in,si,"""looked in"" is the past tense of:  look in","(avoir) rendu visite, regardé à l'intérieur",
5893,looked into,si,"""looked into"" is the past tense of:  look into","examiné, étudié",
5894,looked like,si,"""looked like"" is the past tense of:  look like",ressemblé à,
5895,looked through,si,"""looked through"" is the past tense of:  look though","consulté, parcouru",
5899,loosened,si,"""loosened"" is the past tense of:  loosen","desserré, dénoué",
5900,looser,co,"""looser"" is the comparative of :  loose",moins serré(e)(s),
5901,loosest,su,"""loosest"" is the superlative of:  loose",le/la/les moins serré(e)(s),
5903,looted,si,"""looted"" is the past tense of:  loot",pillé,
5912,losers,pl,"""losers"" is the plural of:  loser","perdants, perdantes",
5916,lost,si,"""lost"" is the past tense of:  lose",perdu,
5919,lost touch,si,"""lost touch"" is the past tense of:  lose touch",(avoir) perdu contact,
5920,lost track,si,"""lost track"" is the past tense of:  lose track","(avoir) perdu le fil, perdu de vue",
5921,lost weight,si,"""lost weight"" is the past tense of:  lose weight",(avoir) perdu du poids,
5924,lotteries,pl,"""lotteries"" is the plural of:  lottery",loteries,
5930,louder,co,"""louder"" is the comparative of :  loud","plus fort(e)(s), bruyant(e)(s)",
5931,loudest,su,"""loudest"" is the superlative of:  loud","le/la/les plus fort(e)(s), bruyant(e)(s)",
5940,loved,si,"""loved"" is the past tense of:  love","aimé, chéri",
5941,lovelier,co,"""lovelier"" is the comparative of :  lovely","plus ravissant(e)(s), adorable(s)",
5942,loveliest,su,"""loveliest"" is the superlative of:  lovely","le/la/les plus ravissant(e)(s), adorable(s)",
5949,low-key,adjective,Sam is a very low-key person.  He doesn't like to be in the limelight.,,Sam est quelqu'un de très discret. Il n'aime pas être sous les projecteurs.
5950,lower,co,"""lower"" is the comparative of :  low","plus bas, basse(s)",
5951,lowest,su,"""lowest"" is the superlative of:  low","le/la/les plus bas, bass(e)(s)",
5958,luckier,co,"""luckier"" is the comparative of :  lucky","plus chanceux, chanceuse(s)",
5959,luckiest,su,"""luckiest"" is the superlative of:  lucky","le/la/les plus chanceux, chanceus(e)(s)",
